"","x"
"1","ZNF862"
"2","ACSM3"
"3","SNRPB2"
"4","COA1"
"5","GYLTL1B"
"6","ATP5C1"
"7","POLR2D"
"8","LIX1L"
"9","ZNF302"
"10","GMFB"
"11","ZNF322"
"12","AMD1"
"13","C2orf68"
"14","LOC157562"
"15","RBM12B"
"16","PWWP2A"
"17","MAPK1IP1L"
"18","AAED1"
"19","SNORA68 or RPL18A"
"20","FAM96B"
"21","SUV39H2 or DCLRE1C"
"22","ZNF443"
"23","PAN3-AS1"
"24","IDH1"
"25","PEX11B"
"26","SLC25A30"
"27","NFYA"
"28","PTPN18"
"29","HIST1H3G or HIST1H3A or HIST1H3D or HIST1H3C or HIST1H3E or HIST1H3I or HIST1H3J or HIST1H3H or HIST1H3B or HIST1H3F"
"30","ALG13"
"31","ECD"
"32","ATP7A"
"33","SMIM14"
"34","DCP1A"
"35","OGG1"
"36","SMIM20"
"37","CWC25"
"38","LIN7B"
"39","TMEM80"
"40","MAP1LC3B"
"41","HMGCR"
"42","KIF2C"
"43","DALRD3"
"44","CEP44"
"45","YWHAG"
"46","SLC35E3"
"47","GNB1L or C22orf29"
"48","MAP1LC3B2 or MAP1LC3B"
"49","ZNF540"
"50","PTP4A1"
"51","DNAJC30"
"52","PPP1R3E"
"53","DIDO1"
"54","STK17A"
"55","C8orf33"
"56","SAR1A"
"57","ZFP30"
"58","TTC9"
"59","SRSF3"
"60","SF3B4"
"61","ZBTB10"
"62","ENTPD6"
"63","CCDC132"
"64","DNAJA1"
"65","RNASEH2C"
"66","LONRF1"
"67","AKIRIN1"
"68","SP140"
"69","EIF5"
"70","SKP2"
"71","SMN1 or SMN2"
"72","HSPA13"
"73","STAM2"
"74","SPTLC2"
"75","METAP2"
"76","FAM3C"
"77","MYH9"
"78","H3F3A or H3F3B or MIR4738"
"79","TAGAP"
"80","SPI1"
"81","COPS3"
"82","ZNF57"
"83","LASP1"
"84","DCP2"
"85","RPS6KA1"
"86","ZMYND11"
"87","SLC25A12"
"88","DDX49"
"89","C12orf5"
"90","ZMYM3"
"91","PGM3"
"92","LOC153684"
"93","CAPZA2"
"94","WDR35"
"95","PRPSAP1"
"96","HSPE1"
"97","NSUN2"
"98","SATB1"
"99","CMIP"
"100","NRAS"
"101","METTL20 or AMN1"
"102","SCAI"
"103","NUS1P3 or NUS1"
"104","RNF20"
"105","KPNA4"
"106","GNRHR2 or RBM8A"
"107","SDHAP1 or LINC00969 or SDHAP2"
"108","DNAJB11"
"109","GOLPH3L"
"110","REEP5"
"111","KIAA0907"
"112","TRMT10B"
"113","LOC100130987"
"114","BRAT1"
"115","CUTC"
"116","TLE1"
"117","B4GALT7"
"118","AMMECR1"
"119","GLE1"
"120","RCHY1"
"121","NCAPD3"
"122","TMEM170A"
"123","METTL21A"
"124","CERK"
"125","ZNF248"
"126","TVP23B"
"127","NHLRC2"
"128","CALR"
"129","DDA1"
"130","CHST15"
"131","IGH"
"132","DDX3X"
"133","GDPD3"
"134","LOC151657"
"135","ZNF252P"
"136","REXO4"
"137","GABPB2"
"138","CYP20A1"
"139","CBR4"
"140","EHMT2"
"141","TMEM121"
"142","OCIAD2"
"143","RCAN3"
"144","GNPAT"
"145","EMC7"
"146","GLIDR"
"147","ELL3"
"148","YWHAQ"
"149","ERF"
"150","TAF6"
"151","FTL"
"152","SLC46A3"
"153","TTC17"
"154","PPARA"
"155","ZDHHC23"
"156","PHF14"
"157","ESYT1"
"158","FAM220A"
"159","EWSR1"
"160","KLF11"
"161","ZSCAN16"
"162","TRMT1L"
"163","LINC00623 or RP11-640M9.1"
"164","COPS2"
"165","RHOT1"
"166","ATP6V1B2"
"167","FAM78A"
"168","CPNE1"
"169","ZNF638"
"170","VAPB"
"171","ZNF738"
"172","LOC100287497"
"173","LOC283357"
"174","RPL10 or SNORA70"
"175","FASN"
"176","RNF185"
"177","VCPKMT"
"178","TTC13"
"179","MAGOH2"
"180","SDCCAG8"
"181","SUGP2"
"182","KIAA0586"
"183","NAA50"
"184","S100PBP"
"185","DR1"
"186","ILK"
"187","DNM2"
"188","LSM1"
"189","NDUFB1"
"190","ZFP90"
"191","AK1"
"192","INADL"
"193","ACVR2A"
"194","PLA2G12A"
"195","HIBCH"
"196","ECH1"
"197","GTF3A"
"198","GABPB1-AS1"
"199","MFN2"
"200","C14orf166"
"201","SEC23B"
"202","COMMD3"
"203","CCT6B"
"204","LOC100996902"
"205","TAPSAR1"
"206","OR13C4"
"207","TMTC3"
"208","GRAPL"
"209","FNIP1"
"210","U2SURP"
"211","EAF1"
"212","KRAS"
"213","RFX3"
"214","ERMN"
"215","BCR"
"216","COG4"
"217","HIST1H3B or HIST1H3A or HIST1H3D or HIST1H3C or HIST1H3E or HIST1H3I or HIST1H3G or HIST1H3J or HIST1H3H or HIST1H3F"
"218","FUK"
"219","POLR3K"
"220","ZNF767"
"221","LAP3"
"222","ARL3"
"223","AUH"
"224","EDN1"
"225","TFDP1"
"226","C11orf68"
"227","TAOK1"
"228","ICAM2"
"229","DGAT2"
"230","MAPRE1"
"231","VBP1"
"232","DUSP18"
"233","GNAI3"
"234","HLA-DPA1"
"235","RAB22A"
"236","LUC7L2"
"237","DPAGT1"
